TimeStamp,DateTime,RH,Fan,Swing,Mode,Status,RoomTemp,Setpoint
1614457186,2/27/2021 20:19,43.62707138,1,1,1,1,30.09498787,26
1614457546,2/27/2021 20:25,43.69268417,1,1,1,1,30.08163643,26
1614457906,2/27/2021 20:31,43.66521835,1,1,1,1,30.08163643,26
1614458266,2/27/2021 20:37,43.72930527,1,1,1,1,30.05226135,26
1614458626,2/27/2021 20:43,43.82390976,1,1,1,1,30.05226135,26
1614458986,2/27/2021 20:49,43.770504,1,1,1,1,30.05226135,26
1614459346,2/27/2021 20:55,43.83306503,1,1,1,1,30.02555847,26
1614459706,2/27/2021 21:01,43.88037109,1,1,1,1,30.00953674,26
1614460066,2/27/2021 21:07,43.894104,1,1,1,1,30.02555847,26
1614460426,2/27/2021 21:13,43.86968613,1,1,1,1,30.00953674,26
1614460786,2/27/2021 21:19,43.91546631,1,1,1,1,29.9961853,26
1614461146,2/27/2021 21:25,43.92614746,1,1,1,1,29.98283386,26
1614461506,2/27/2021 21:31,43.92156982,1,1,1,1,29.93743706,26
1614461986,2/27/2021 21:39,43.9887085,1,1,1,1,29.98283386,26
1614462346,2/27/2021 21:45,43.97497559,1,1,1,1,29.95346069,26
1614462706,2/27/2021 21:51,43.99786377,1,1,1,1,29.95346069,26
1614463066,2/27/2021 21:57,44.05889893,1,1,1,1,29.93743706,26
1614463426,2/27/2021 22:03,44.0680542,1,1,1,1,29.91073418,26
1614463786,2/27/2021 22:09,44.00701904,1,1,1,1,29.92408562,26
1614464146,2/27/2021 22:15,44.02075195,1,1,1,1,29.93743706,26
1614464506,2/27/2021 22:21,44.00701904,1,1,1,1,29.92408562,26
1614464866,2/27/2021 22:27,44.07720947,1,1,1,1,29.89471245,26
1614465226,2/27/2021 22:33,44.11688232,1,1,1,1,29.91073418,26
1614465586,2/27/2021 22:39,44.13061905,1,1,1,1,29.91073418,26
